,,dsj1000,d1291,fl1577,d2103,rl5934,pla7397,brd14051,d15112
LKH-3,time,1.0773861408233643,1.6021318435668945,3.5104620456695557,4.400274038314819,37.7036030292511,58.725682735443115,232.81052112579346,316.4467132091522
LKH-3,optimality_gaps (%),0.1685835105198297,0.6121926733725714,0.25169670546990874,0.5382224984462399,1.556348856657285,0.8316334725207224,1.1811199761389903,1.2195152960681057
Concorde,time,34.49,251.77,311.5,680.55,1263.36,671.33,2102.15,2966.48
Concorde,optimality_gaps (%),0.0,0.14,1.68,1.47,1.27,0.48,0.26,0.26
LKH-3(runs),time,10.94,248.8,6.13,96.41,554.94,783.51,1980.12,2974.5
LKH-3(runs),optimality_gaps (%),0.0,0.0,0.0,0.0,0.19,0.19,0.75,0.84
ViTSP-GPT4,time,115.03,221.35,72.73,684.05,505.0,744.51,2045.76,2963.14
ViTSP-GPT4,optimality_gaps (%),0.0,0.04724316450463573,0.0,0.09322560596643878,0.7209848123802929,0.4934970221052411,0.2245491440928023,0.45522044595202804
ViTSP-GPT5,time,39.0,264.67,28.96,654.3,477.17,694.88,2052.19,2924.57
ViTSP-GPT5,optimality_gaps (%),0.04204673607790018,0.22243656620932659,0.0,0.13051584835301427,0.9616128191063673,0.3418938564605544,0.2430840354932518,0.7368328709719253
